mass,CaPhi,acceptance,cross_section_pb,BR_h_to_Za,Gamma_total_alp_GeV,N_signal
0.178,7.94e-05,0.0,1.0006131401016585e-10,1.8322892146157455e-12,4.2793922205478076e-21,0.0
0.178,0.0001,0.0,1.5871763987154663e-10,2.9063841763696507e-12,6.787988345443167e-21,0.0
0.178,0.000126,0.0,2.51980125059637e-10,4.614175518396576e-12,1.0776610297225565e-20,0.0
0.178,0.000158,0.0,3.962227161736057e-10,7.25549745785764e-12,1.6945534105564315e-20,0.0
0.178,0.0002,0.0,6.348705594806509e-10,1.1625536705377238e-11,2.715195338177267e-20,0.0
0.178,0.000251,0.0,9.99937002939327e-10,1.8310510949264367e-11,4.2765005375126464e-20,0.0
0.178,0.000316,0.0,1.5848908646599255e-09,2.9021989830798854e-11,6.778213642225726e-20,0.0
0.178,0.000398,0.0,2.514150902512808e-09,4.603828790538011e-11,1.0752445058715791e-19,0.0
0.178,0.000501,0.0,3.983828632260765e-09,7.295053346018613e-11,1.70379186269458e-19,0.0
0.178,0.000631,0.0,6.319517420176557e-09,1.1572088299169671e-10,2.702712227609996e-19,0.0
0.178,0.000794,0.0,1.0006131399201507e-08,1.8322892142833743e-10,4.2793922205478054e-19,0.0
0.178,0.001,0.0,1.5871763982587847e-08,2.906384175533391e-10,6.787988345443164e-19,0.0
0.178,0.00126,0.0,2.5198012494453176e-08,4.614175516288807e-10,1.0776610297225568e-18,0.0
0.178,0.00158,1.8162784802077906e-07,3.962227158890011e-08,7.255497452646056e-10,1.6945534105564313e-18,8.635809506864139e-09
0.178,0.002,6.781739161548611e-06,6.348705587499606e-08,1.1625536691997082e-09,2.7151953381772658e-18,5.166631836946628e-07
0.178,0.00251,3.3333333333333335e-05,9.999370011267012e-08,1.8310510916072172e-09,4.276500537512648e-18,3.999748004506806e-06
0.178,0.00316,2.034521748464583e-05,1.5848908601062532e-07,2.9021989747413537e-09,6.778213642225725e-18,3.8693939085946935e-06
0.178,0.00398,4.5406962005194756e-07,2.5141508910538343e-07,4.603828769554724e-09,1.0752445058715792e-17,1.369919447824896e-07
0.178,0.00501,6.055110390353818e-05,3.9838286034891425e-07,7.2950532933329836e-09,1.7037918626945794e-17,2.894702636445102e-05
0.178,0.00631,0.00010121105994248243,6.319517347777842e-07,1.1572088166595573e-08,2.7027122276099953e-17,7.675260589122009e-05
