mass,CaPhi,N_signal_h,N_signal_p,N_signal
0.316,0.000251,4.935089886603112e-07,1.4714067470764074e-14,4.935090033743787e-07
0.316,0.000316,1.181361913623018e-06,3.7254676447309525e-14,1.1813619508776943e-06
0.316,0.000398,2.5271990324147315e-06,1.4556548612275077e-13,2.5271991779802174e-06
0.316,0.000501,7.058662111294713e-06,3.3053589802133215e-13,7.058662441830612e-06
0.316,0.000631,1.5626472668011067e-05,7.668051668072768e-13,1.5626473434816235e-05
0.316,0.000794,3.5918910294749786e-05,1.4480235458735226e-12,3.591891174277333e-05
0.316,0.001,7.978412440290914e-05,3.143930347003351e-12,7.978412754683948e-05
0.316,0.00126,0.00016091263099,6.118210579658857e-12,0.0001609126371082106
0.316,0.00158,0.0002943781485265,1.098809971592944e-11,0.0002943781595145997
0.316,0.002,0.0004432992471118,2.2358704370806304e-11,0.00044329926947050437
0.316,0.00251,0.0005812620896421,3.56538691602141e-11,0.0005812621252959692
0.316,0.00316,0.0005673202197245,4.325094545776336e-11,0.0005673202629754455
0.316,0.00398,0.0004006033531011,5.297628978450919e-11,0.0004006034060773898
0.316,0.00501,0.0001710338240792,5.0643099906287466e-11,0.0001710338747222999
0.316,0.00631,6.922520417280033e-05,4.6275871681634e-11,6.922525044867202e-05
0.316,0.00794,2.949697001237488e-05,3.731315940865562e-11,2.949700732553429e-05
0.316,0.01,0.0,2.033292944463866e-11,2.033292944463866e-11
0.316,0.0126,0.0,1.4063351686734036e-11,1.4063351686734036e-11
0.316,0.0158,0.0,8.869339771922182e-12,8.869339771922182e-12
0.316,0.02,0.0,0.0,0.0
0.316,0.0251,0.0,5.828007174437888e-12,5.828007174437888e-12
0.316,0.0316,0.0,0.0,0.0
0.316,0.0398,0.0,0.0,0.0
0.316,0.0501,0.0,0.0,0.0
0.316,0.0631,0.0,0.0,0.0
0.316,0.0794,0.0,0.0,0.0
0.316,0.1,0.0,0.0,0.0
0.316,0.126,0.0,0.0,0.0
0.316,0.158,0.0,0.0,0.0
0.316,0.2,0.0,0.0,0.0
0.316,0.251,0.0,0.0,0.0
0.316,0.316,0.0,0.0,0.0
0.316,0.398,0.0,0.0,0.0
0.316,0.501,0.0,0.0,0.0
0.316,0.631,0.0,0.0,0.0
0.316,0.794,0.0,0.0,0.0
0.316,1.0,0.0,0.0,0.0
0.562,3.16e-08,0.0,0.0,0.0
0.562,3.98e-08,0.0,0.0,0.0
0.562,5.01e-08,0.0,0.0,0.0
0.562,6.31e-08,0.0,0.0,0.0
0.562,7.94e-08,0.0,0.0,0.0
0.562,1e-07,0.0,0.0,0.0
0.562,1.26e-07,0.0,0.0,0.0
0.562,1.58e-07,0.0,0.0,0.0
0.562,2e-07,0.0,0.0,0.0
0.562,2.51e-07,0.0,0.0,0.0
0.562,3.16e-07,0.0,0.0,0.0
0.562,3.98e-07,0.0,0.0,0.0
0.562,5.01e-07,0.0,0.0,0.0
0.562,6.31e-07,0.0,0.0,0.0
0.562,7.94e-07,0.0,0.0,0.0
0.562,1e-06,0.0,0.0,0.0
0.562,1.26e-06,0.0,0.0,0.0
0.562,1.58e-06,0.0,0.0,0.0
0.562,2e-06,0.0,0.0,0.0
0.562,2.51e-06,0.0,0.0,0.0
0.562,3.16e-06,0.0,7.566866827882495e-20,7.566866827882495e-20
0.562,3.98e-06,0.0,0.0,0.0
0.562,5.01e-06,0.0,0.0,0.0
0.562,6.31e-06,0.0,0.0,0.0
0.562,7.94e-06,0.0,1.3021091865603186e-18,1.3021091865603186e-18
0.562,1e-05,0.0,0.0,0.0
0.562,1.26e-05,0.0,8.707118872107415e-21,8.707118872107415e-21
0.562,1.58e-05,1.0607830841715737e-15,0.0,1.0607830841715737e-15
0.562,2e-05,2.537229700551504e-10,0.0,2.537229700551504e-10
0.562,2.51e-05,2.677070785366365e-15,1.1817543015854377e-22,2.677070903541795e-15
0.562,3.16e-05,1.1367745809845095e-09,1.4823753279819658e-17,1.1367745958082627e-09
0.562,3.98e-05,2.466868246576145e-12,3.2644445937634137e-17,2.4669008910220826e-12
0.562,5.01e-05,3.280011926621235e-09,8.800611254454548e-17,3.2800120146273474e-09
0.562,6.31e-05,6.383077740112247e-09,2.5811652414746887e-16,6.3830779982287714e-09
0.562,7.94e-05,2.4007395286616512e-08,1.0714649532332012e-15,2.4007396358081466e-08
0.562,0.0001,3.681306127324712e-08,2.2599719054672778e-15,3.681306353321903e-08
0.562,0.000126,1.38859676241185e-07,3.490382749951396e-15,1.3885967973156776e-07
0.562,0.000158,2.303218153268553e-07,9.928203314970048e-15,2.3032182525505863e-07
0.562,0.0002,5.191624356980593e-07,2.382751349245616e-14,5.191624595255727e-07
0.562,0.000251,1.547394868990789e-06,5.803121528507351e-14,1.5473949270220043e-06
0.562,0.000316,3.183038889948275e-06,1.0836119885746009e-13,3.183038998309474e-06
0.562,0.000398,9.17334550783099e-06,3.3963266211396213e-13,9.173345847463652e-06
0.562,0.000501,1.8318717715068732e-05,5.856773561886274e-13,1.831871830074609e-05
0.562,0.000631,3.707007732952052e-05,1.341079346283718e-12,3.707007867059987e-05
0.562,0.000794,7.231607344552209e-05,2.5239526976650908e-12,7.231607596947479e-05
0.562,0.001,0.0001154055332554,3.801861637876279e-12,0.00011540553705726164
0.562,0.00126,0.0001387923296885,6.1445033366616006e-12,0.00013879233583300333
0.562,0.00158,0.0001347673115237,9.807277319206051e-12,0.00013476732133097734
0.562,0.002,9.60296923119129e-05,1.0285269188552347e-11,9.602970259718209e-05
0.562,0.00251,5.062532938574247e-05,1.1688895790048684e-11,5.0625341074638256e-05
0.562,0.00316,1.2723871522016123e-05,1.1185617665476159e-11,1.2723882707633788e-05
0.562,0.00398,2.6716259309548736e-06,9.887179604676903e-12,2.6716358181344784e-06
0.562,0.00501,0.0,3.932841428413768e-12,3.932841428413768e-12
0.562,0.00631,0.0,1.958684853384668e-12,1.958684853384668e-12
0.562,0.00794,0.0,1.3089686119974212e-12,1.3089686119974212e-12
0.562,0.01,0.0,0.0,0.0
0.562,0.0126,0.0,0.0,0.0
0.562,0.0158,0.0,0.0,0.0
0.562,0.02,0.0,0.0,0.0
0.562,0.0251,0.0,0.0,0.0
0.562,0.0316,0.0,0.0,0.0
0.562,0.0398,0.0,0.0,0.0
0.562,0.0501,0.0,0.0,0.0
0.562,0.0631,0.0,0.0,0.0
0.562,0.0794,0.0,0.0,0.0
0.562,0.1,0.0,0.0,0.0
