mass,CaPhi,acceptance,cross_section_pb,Gamma_total_alp_GeV,N_signal
0.562,2.51e-07,0.0,4.362974e-23,5.494049373984062e-23,0.0
0.562,3.16e-07,0.0,6.926969e-23,8.708017242401748e-23,0.0
0.562,3.98e-07,0.0,1.116966e-22,1.3813739417415138e-22,0.0
0.562,5.01e-07,0.0,1.770068e-22,2.1888730129987995e-22,0.0
0.562,6.31e-07,0.0,2.79937e-22,3.472192810899617e-22,0.0
0.562,7.94e-07,0.0,4.381211e-22,5.497764338878774e-22,0.0
0.562,1e-06,0.0,7.001166e-22,8.720574870214855e-22,0.0
0.562,1.26e-06,0.0,1.114648e-21,1.3844784663953103e-21,0.0
0.562,1.58e-06,0.0,1.729991e-21,2.1770043106004364e-21,0.0
0.562,2e-06,0.0,2.804472e-21,3.488229948085942e-21,0.0
0.562,2.51e-06,0.0,4.422329e-21,5.494049373984062e-21,0.0
0.562,3.16e-06,8.9071159301993e-06,7.079421e-21,8.708017242401745e-21,7.566866827882495e-20
0.562,3.98e-06,0.0,1.103555e-20,1.381373941741514e-20,0.0
0.562,5.01e-06,0.0,1.751333e-20,2.1888730129987992e-20,0.0
0.562,6.31e-06,0.0,2.805163e-20,3.472192810899617e-20,0.0
0.562,7.94e-06,2.4409321212334413e-05,4.445396e-20,5.497764338878773e-20,1.3021091865603186e-18
0.562,1e-05,0.0,7.023686e-20,8.720574870214857e-20,0.0
