mass,CaPhi,acceptance,cross_section_pb,BR_h_to_Za,C_Zh_eff,Gamma_total_alp_GeV,N_signal
0.0562,2e-05,0.0,0.012008350991442143,0.00021989289491745363,0.015,8.466613684581299e-23,0.0
0.0562,2.51e-05,0.0,0.012008350991442143,0.00021989289491745363,0.015,1.333512821855766e-22,0.0
0.0562,3.16e-05,0.0,0.012008350991442143,0.00021989289491745363,0.015,2.1136054402188764e-22,0.0
0.0562,3.98e-05,0.0,0.012008350991442143,0.00021989289491745363,0.015,3.35286368523104e-22,0.0
0.0562,5.01e-05,0.0,0.012008350991442143,0.00021989289491745363,0.015,5.312821253608975e-22,0.0
0.0562,6.31e-05,0.0,0.012008350991442143,0.00021989289491745363,0.015,8.427688428166436e-22,0.0
0.0562,7.94e-05,0.0,0.012008350991442143,0.00021989289491745363,0.015,1.3344145162131744e-21,0.0
0.0562,0.0001,0.0,0.012008350991442143,0.00021989289491745363,0.015,2.116653421145325e-21,0.0
0.0562,0.000126,0.0,0.012008350991442143,0.00021989289491745363,0.015,3.360398971410317e-21,0.0
0.0562,0.000158,0.0,0.012008350991442143,0.00021989289491745363,0.015,5.284013600547188e-21,0.0
0.0562,0.0002,0.0,0.012008350991442143,0.00021989289491745363,0.015,8.4666136845813e-21,0.0
0.0562,0.000251,0.0,0.012008350991442143,0.00021989289491745363,0.015,1.3335128218557655e-20,0.0
0.0562,0.000316,0.0,0.012008350991442143,0.00021989289491745363,0.015,2.1136054402188753e-20,0.0
0.0562,0.000398,0.0,0.012008350991442143,0.00021989289491745363,0.015,3.3528636852310406e-20,0.0
0.0562,0.000501,0.0,0.012008350991442143,0.00021989289491745363,0.015,5.312821253608977e-20,0.0
0.0562,0.000631,0.0,0.012008350991442143,0.00021989289491745363,0.015,8.427688428166437e-20,0.0
0.0562,0.000794,0.0,0.012008350991442143,0.00021989289491745363,0.015,1.3344145162131737e-19,0.0
0.0562,0.001,0.0,0.012008350991442143,0.00021989289491745363,0.015,2.1166534211453247e-19,0.0
0.0562,0.00126,0.0,0.012008350991442143,0.00021989289491745363,0.015,3.3603989714103175e-19,0.0
0.0562,0.00158,0.0,0.012008350991442143,0.00021989289491745363,0.015,5.284013600547188e-19,0.0
0.0562,0.002,0.0,0.012008350991442143,0.00021989289491745363,0.015,8.466613684581299e-19,0.0
0.0562,0.00251,0.0,0.012008350991442143,0.00021989289491745363,0.015,1.333512821855766e-18,0.0
0.0562,0.00316,1.3682373176415209e-05,0.012008350991442143,0.00021989289491745363,0.015,2.1136054402188754e-18,0.19716328739794434
0.0562,0.00398,0.0,0.012008350991442143,0.00021989289491745363,0.015,3.3528636852310407e-18,0.0
0.0562,0.00501,3.324139525395551e-05,0.012008350991442143,0.00021989289491745363,0.015,5.312821253608976e-18,0.4790092099857082
0.0562,0.00631,7.117000826341083e-06,0.012008350991442143,0.00021989289491745363,0.015,8.427688428166436e-18,0.102556132714905
0.0562,0.00794,3.3425271412711166e-05,0.012008350991442143,0.00021989289491745363,0.015,1.3344145162131735e-17,0.4816588693296634
0.0562,0.01,7.929256407662154e-05,0.012008350991442143,0.00021989289491745363,0.015,2.1166534211453254e-17,1.1426075285321855
0.0562,0.0126,0.00011271783548933272,0.012008350991442143,0.00021989289491745363,0.015,3.360398971410318e-17,1.6242663978618492
0.0562,0.0158,5.3352045807762775e-05,0.012008350991442143,0.00021989289491745363,0.015,5.284013600547189e-17,0.7688041106053377
0.0562,0.02,0.00012695183714201485,0.012008350991442143,0.00021989289491745363,0.015,8.466613684581302e-17,1.8293786632916587
0.0562,0.0251,0.0002153824154985203,0.012008350991442143,0.00021989289491745363,0.015,1.3335128218557664e-16,3.1036651712290317
0.0562,0.0316,0.00032722765138014836,0.012008350991442143,0.00021989289491745363,0.015,2.1136054402188756e-16,4.715357390253707
0.0562,0.0398,0.0005281470321739266,0.012008350991442143,0.00021989289491745363,0.015,3.352863685231041e-16,7.610609924919595
0.0562,0.0501,0.0007885692976219568,0.012008350991442143,0.00021989289491745363,0.015,5.312821253608977e-16,11.363300288303352
0.0562,0.0631,0.000879024138017544,0.012008350991442143,0.00021989289491745363,0.015,8.427688428166436e-16,12.666756455117458
0.0562,0.0794,0.0015534529963589657,0.012008350991442143,0.00021989289491745363,0.015,1.3344145162131739e-15,22.385290594783143
0.0562,0.1,0.002338851242388772,0.012008350991442143,0.00021989289491745363,0.015,2.116653421145325e-15,33.70289596244988
0.0562,0.126,0.003000975174451677,0.012008350991442143,0.00021989289491745363,0.015,3.3603989714103185e-15,43.244115853704066
0.0562,0.158,0.00332824798272513,0.012008350991442143,0.00021989289491745363,0.015,5.284013600547189e-15,47.96012395574715
0.0562,0.2,0.0034599789757020225,0.012008350991442143,0.00021989289491745363,0.015,8.4666136845813e-15,49.858370355888425
0.0562,0.251,0.0028729693768439497,0.012008350991442143,0.00021989289491745363,0.015,1.3335128218557659e-14,41.399549597768356
0.0562,0.316,0.0019063905086631437,0.012008350991442143,0.00021989289491745363,0.015,2.1136054402188757e-14,27.471127625737143
0.0562,0.398,0.0007991331642785818,0.012008350991442143,0.00021989289491745363,0.015,3.352863685231041e-14,11.515525830670805
0.0562,0.501,0.0003324607337256287,0.012008350991442143,0.00021989289491745363,0.015,5.3128212536089755e-14,4.790766217739683
0.0562,0.631,1.8387615875565317e-07,0.012008350991442143,0.00021989289491745363,0.015,8.427688428166436e-14,0.0026496593439552245
0.0562,0.794,9.193807937782657e-08,0.012008350991442143,0.00021989289491745363,0.015,1.3344145162131743e-13,0.001324829671977612
0.0562,1.0,6.841186588207604e-06,0.012008350991442143,0.00021989289491745363,0.015,2.116653421145325e-13,0.09858164369897217
0.1,3.16e-08,0.0,0.012008240589038151,0.00021989087326566842,0.015,3.796731961172533e-28,0.0
0.1,3.98e-08,0.0,0.012008240589038151,0.00021989087326566842,0.015,6.02284819717968e-28,0.0
0.1,5.01e-08,0.0,0.012008240589038151,0.00021989087326566842,0.015,9.543577942099296e-28,0.0
0.1,6.31e-08,0.0,0.012008240589038151,0.00021989087326566842,0.015,1.5138905968518844e-27,0.0
0.1,7.94e-08,0.0,0.012008240589038151,0.00021989087326566842,0.015,2.3970482601684098e-27,0.0
